Customer ID,gross_invoicing,credit_notes,n_invoices,last_activity,top_line_concentration,net_ledger,funding_in_use,dilution_rate,days_since_activity,tenure_days,avg_invoice_value,ran_off,runoff_prob,in_test
12346,77556.46,77621.14,17,2011-01-18 10:17:00,0.9951924056358425,-64.67999999999302,0.0,1.0008339730823195,143,543,4562.144705882353,1,0.88,False
12347,3529.27,0.0,5,2011-06-09 13:01:00,0.07072284070076816,3529.27,2823.416,0.0,0,221,705.854,0,0.023333333333333334,False
12348,1709.4,0.0,4,2011-04-05 10:47:00,0.18778518778518777,1709.4,1367.5200000000002,0.0,66,255,427.35,0,0.09,True
12349,2671.14,24.15,4,2010-10-28 08:23:00,0.16846739594330512,2646.99,2117.592,0.009041083582290707,225,553,667.785,0,0.14,False
12352,1905.61,960.63,10,2011-03-22 16:08:00,0.4409611620426005,944.9799999999999,755.9839999999999,0.504106296671407,79,210,190.56099999999998,0,0.05333333333333334,False
12353,406.76,0.0,2,2011-05-19 17:47:00,0.0978463959091356,406.76,325.408,0.0,21,226,203.38,1,0.8366666666666667,False
12355,947.61,0.0,2,2011-05-09 13:49:00,0.12663437490106688,947.61,758.0880000000001,0.0,31,385,473.805,1,0.7733333333333333,False
12356,6315.33,0.0,5,2011-04-08 12:33:00,0.12034208822025136,6315.33,5052.264,0.0,62,242,1263.066,0,0.05333333333333334,True
12357,12079.99,0.0,2,2010-11-16 14:29:00,0.07036429665918598,12079.99,9663.992,0.0,205,206,6039.995,0,0.15333333333333332,False
12358,2719.01,0.0,3,2010-11-29 10:56:00,0.16175004873097196,2719.01,2175.208,0.0,193,549,906.3366666666667,0,0.15,False
12359,6059.09,129.8,12,2011-06-03 12:26:00,0.06102401515739162,5929.29,4743.432,0.021422358803054587,7,551,504.9241666666667,0,0.03333333333333333,False
12360,2674.41,40.0,7,2011-05-23 09:43:00,0.1645222684629507,2634.41,2107.528,0.014956569860268247,18,473,382.0585714285714,0,0.03,False
12361,511.25,0.0,4,2011-02-25 13:51:00,0.12909535452322737,511.25,409.0,0.0,104,499,127.8125,1,0.82,False
12362,1104.34,4.9,4,2011-04-28 09:12:00,0.1992140101780249,1099.4399999999998,879.5519999999999,0.004437039317601464,43,556,276.085,0,0.16666666666666666,False
12365,641.38,320.69,3,2011-02-21 14:04:00,0.5,320.69,256.552,0.5,108,108,213.79333333333332,1,0.7966666666666666,False
12369,1791.15,0.0,3,2010-10-22 13:13:00,0.15632414928956256,1791.15,1432.92,0.0,230,459,597.0500000000001,1,0.7733333333333333,False
12370,3581.03,0.0,6,2011-03-10 12:48:00,0.10052973585811903,3581.03,2864.8240000000005,0.0,91,486,596.8383333333334,0,0.05,False
12371,2179.42,0.0,3,2010-10-26 13:37:00,0.16518156206697193,2179.42,1743.536,0.0,226,462,726.4733333333334,0,0.21,True
12372,914.9200000000001,0.0,2,2011-05-11 10:43:00,0.11607572246753817,914.9200000000001,731.9360000000001,0.0,30,114,457.46000000000004,0,0.17333333333333334,False
12373,1127.65,0.0,3,2011-02-01 13:10:00,0.17735999645280007,1127.65,902.1200000000001,0.0,128,491,375.8833333333334,1,0.7933333333333333,False
12374,2246.29,0.0,3,2010-10-14 13:31:00,0.0890356988634593,2246.29,1797.0320000000002,0.0,238,405,748.7633333333333,0,0.17666666666666667,False
12376,503.15,0.0,2,2010-11-15 12:15:00,0.23849746596442414,503.15,402.52,0.0,207,235,251.575,1,0.8933333333333333,False
12377,3426.32,0.0,4,2011-01-28 15:45:00,0.0466973312475192,3426.32,2741.0560000000005,0.0,132,406,856.58,1,0.78,False
12379,767.98,0.0,2,2010-10-13 14:46:00,0.09765879319773953,767.98,614.384,0.0,239,352,383.99,0,0.25333333333333335,False
12380,7559.04,1784.0500000000002,11,2011-06-07 09:49:00,0.19958222208111084,5774.99,4619.992,0.23601541994750658,3,480,687.1854545454545,0,0.013333333333333334,False
12383,1850.56,11.25,6,2011-06-08 08:02:00,0.11996368666781948,1839.31,1471.448,0.006079240878436798,2,169,308.4266666666667,1,0.6566666666666666,False
12385,1938.4,15.0,2,2010-11-25 15:19:00,0.13929013619479982,1923.4,1538.7200000000003,0.007738340899711101,196,196,969.2,1,0.7,False
12386,660.8,0.0,2,2011-01-06 12:37:00,0.21610169491525427,660.8,528.64,0.0,154,184,330.4,1,0.8366666666666667,True
12388,1886.7,0.0,5,2011-03-09 15:47:00,0.05430116075687709,1886.7,1509.3600000000001,0.0,92,399,377.34000000000003,0,0.06,True
12389,1433.33,0.0,3,2010-11-02 11:52:00,0.24593080449024302,1433.33,1146.664,0.0,220,473,477.77666666666664,1,0.86,False
12391,2312.53,25.6,6,2010-09-01 12:38:00,0.06914504892909497,2286.9300000000003,1829.5440000000003,0.01107012665781633,281,480,385.4216666666667,0,0.22666666666666666,True
12393,1877.95,22.7,6,2011-04-08 09:45:00,0.09680768923560265,1855.25,1484.2,0.012087648765941584,63,245,312.9916666666667,0,0.08666666666666667,False
12395,3618.36,17.8,11,2011-05-12 10:15:00,0.09949258780220874,3600.56,2880.4480000000003,0.004919355730220321,29,420,328.9418181818182,0,0.03333333333333333,True
