Customer ID,funding_in_use,runoff_prob,exp_exposure,dilution_rate,top_line_concentration,days_since_activity
17850,44562.50400000001,0.6863440924924424,30585.21,0.015847150746076684,0.06802640561638783,301
16754,45248.46400000001,0.6735594470793,30477.53,0.1620961425559687,0.14643316014954713,371
13093,43258.984000000004,0.6524365762045036,28223.74,0.015832948848502056,0.05194776830443554,266
14646,418673.656,0.059959609674324156,25103.51,0.00995161733243345,0.02478743385483671,1
18102,478572.176,0.043453309918792274,20795.55,0.017421243150600837,0.054163514060316345,0
13902,24329.008,0.6735594470793,16387.03,0.10805020991187629,0.18969205690175112,631
12482,17514.824000000004,0.6711888129893369,11755.75,0.07588703073689188,0.07956473657107642,449
15749,17228.72,0.6545620625980446,11277.27,0.5164199280105447,0.2936792539682896,234
14156,237251.752,0.043453309918792274,10309.37,0.055365124941562475,0.026050468428731953,9
16029,73440.728,0.1367333600106709,10041.8,0.24882124201184952,0.06662963179349761,38
14911,216198.82400000002,0.04430582483780336,9578.87,0.08691377983160131,0.03844835247097003,0
13802,20393.248000000003,0.46745052548650745,9532.83,0.0292298558481228,0.06986146902922452,137
15808,14599.064000000002,0.5727549167204339,8361.69,0.008750712251486019,0.05330275563242228,305
12415,114615.43200000002,0.0686552618482372,7868.95,0.008231298747175398,0.01975794133631717,23
13694,152660.416,0.04069050668429093,6211.83,0.028792798718625816,0.022383637530428234,3
17450,186863.512,0.03284736942938897,6137.97,0.05423141444276378,0.06403215832137826,7
15032,10628.52,0.5574652247991049,5925.03,0.035919931207889326,0.11973310402629775,255
14134,8898.68,0.6169610384752813,5490.14,0.0,0.14671838969375234,382
14091,7624.064,0.6735594470793,5135.26,0.0,0.15582240652754226,653
12357,14630.128,0.3434285714285714,5024.4,0.0,0.04647942929822624,32
14088,49920.016,0.09729281277728483,4856.86,0.02555999050545936,0.01624456562476576,9
14160,6737.1759999999995,0.6735594470793,4537.89,0.0,0.09083924777978192,609
17230,7756.728,0.5748894672233472,4459.26,0.02307719434354833,0.13976896609050926,263
14439,7554.432000000001,0.5724652247991049,4324.65,0.0,0.048342482929226174,319
13206,6624.103999999999,0.6444069336587319,4268.62,0.011601562313484503,0.017207173654581655,399
13952,10232.712800000001,0.41236762754154055,4219.64,0.002544542953530469,0.02544542953530469,210
